iter	RMSE
0	29.28667279
1	27.3123916
2	25.47453278
3	23.77012327
4	22.19771762
5	20.74263561
6	19.38366359
7	18.10877778
8	16.96414886
9	15.92277045
10	14.9579235
11	14.03725231
12	13.21540449
13	12.46867647
14	11.77356583
15	11.10396147
16	10.52167176
17	10.00048007
18	9.530368872
19	9.066347795
20	8.670553331
21	8.31501515
22	7.987510623
23	7.704963096
24	7.408226734
25	7.137329336
26	6.916661196
27	6.690349755
28	6.513690259
29	6.358390865
30	6.219753647
31	6.09209008
32	5.949614906
33	5.823438431
34	5.737640276
35	5.634993057
36	5.56290698
37	5.500075152
38	5.442702825
39	5.39315506
40	5.327504426
41	5.275408693
42	5.234264481
43	5.202508214
44	5.174883202
45	5.147338878
46	5.105783398
47	5.080793004
48	5.06184606
49	5.027039103
50	5.011046824
51	4.994493528
52	4.981394091
53	4.970154225
54	4.956249764
55	4.945044824
56	4.935321962
57	4.92681732
58	4.901714743
59	4.891978163
60	4.871708733
61	4.864292435
62	4.845284423
63	4.828884809
64	4.823993645
65	4.820865619
66	4.805649824
67	4.802181888
68	4.791361721
69	4.78337618
70	4.773668938
71	4.771215624
72	4.76256359
73	4.760069368
74	4.757606569
75	4.754332521
76	4.751876873
77	4.74611776
78	4.739556241
79	4.733170441
80	4.730184368
81	4.722893803
82	4.721389779
83	4.713264341
84	4.710934422
85	4.705324724
86	4.703782492
87	4.702601824
88	4.699138896
89	4.6939185
90	4.688845503
91	4.683977594
92	4.681525788
93	4.680638599
94	4.679245874
95	4.67834576
96	4.67455949
97	4.673791188
98	4.672207843
99	4.67117147
100	4.669603697
101	4.668951192
102	4.665884779
103	4.664138072
104	4.662811512
105	4.661874886
106	4.659794902
107	4.657831442
108	4.654558047
109	4.653384371
110	4.651974699
111	4.649874182
112	4.646264775
113	4.644520045
114	4.638556686
115	4.637900499
116	4.633273809
117	4.631938559
118	4.629841909
119	4.629257879
120	4.628669531
121	4.623135615
122	4.621848845
123	4.62039724
124	4.619544562
125	4.61901143
126	4.61740754
127	4.616153633
128	4.615695576
129	4.611158758
130	4.608285085
131	4.602241667
132	4.598618156
133	4.59660245
134	4.595104152
135	4.593577375
136	4.590580357
137	4.588053255
138	4.586793289
139	4.58394928
140	4.5818574
141	4.579989122
142	4.579516111
143	4.577806316
144	4.575018677
145	4.573420547
146	4.5727663
147	4.571663022
148	4.570016017
149	4.567970475
150	4.567404571
151	4.564331748
152	4.562879127
153	4.562146405
154	4.561302902
155	4.560852409
156	4.560242816
157	4.557588777
158	4.555800015
159	4.554907653
160	4.55359461
161	4.54807992
162	4.547531553
163	4.544039885
164	4.543306908
165	4.541878926
166	4.541351866
167	4.53909424
168	4.537067538
169	4.535816211
170	4.531473047
171	4.530471445
172	4.529551818
173	4.527511844
174	4.526646511
175	4.525456876
176	4.524347122
177	4.523764208
178	4.522419026
179	4.521089895
180	4.520148299
181	4.518883536
182	4.518362773
183	4.517479426
184	4.512299593
185	4.511467948
186	4.510208636
187	4.508728324
188	4.50810569
189	4.507190441
190	4.506500272
191	4.50575684
192	4.50440947
193	4.503795136
194	4.502543289
195	4.497016856
196	4.49611706
197	4.49497323
198	4.492803236
199	4.488950939
200	4.486253647
201	4.485778727
202	4.484717576
203	4.483611438
204	4.483146399
205	4.48241956
206	4.481616516
207	4.480855356
208	4.480130032
209	4.479521338
210	4.472782275
211	4.47198489
212	4.471330123
213	4.4696694
214	4.468965254
215	4.467104444
216	4.464078146
217	4.462428638
218	4.456666752
219	4.456275892
220	4.455670251
221	4.454762567
222	4.451716332
223	4.451079099
224	4.450077986
225	4.447373394
226	4.44413369
227	4.443095586
228	4.441969336
229	4.44136946
230	4.439949499
231	4.439382445
232	4.43871299
233	4.438237008
234	4.437402103
235	4.436798081
236	4.431796624
237	4.43131691
238	4.430781366
239	4.430145326
240	4.429636644
241	4.429046669
242	4.427902572
243	4.427544357
244	4.427107626
245	4.426054552
246	4.421684199
247	4.421118311
248	4.418705242
249	4.417829548
250	4.416533575
251	4.416143147
252	4.415001355
253	4.413723503
254	4.413285011
255	4.412945321
256	4.412085652
257	4.411114218
258	4.410601538
259	4.409893484
260	4.408354806
261	4.407641666
262	4.407188687
263	4.406755378
264	4.406263729
265	4.402552226
266	4.401663982
267	4.40107636
268	4.400385181
269	4.399959049
270	4.399318162
271	4.398532457
272	4.398117487
273	4.397356303
274	4.396386223
275	4.395844937
276	4.39525242
277	4.394550386
278	4.394122823
279	4.393608346
280	4.393019024
281	4.392296223
282	4.391679562
283	4.391066264
284	4.390494493
285	4.388401664
286	4.387874746
287	4.387355973
288	4.386589108
289	4.386059399
290	4.385715431
291	4.385130812
292	4.384751762
293	4.384292533
294	4.383548814
295	4.38293824
296	4.382435083
297	4.380653189
298	4.380225621
299	4.379590946
300	4.377663736
301	4.377193151
302	4.376673069
303	4.374985927
304	4.374573829
305	4.374190732
306	4.373571541
307	4.37322693
308	4.372536591
309	4.372256637
310	4.371774514
311	4.371218452
312	4.370928933
313	4.370553823
314	4.370105276
315	4.369723513
316	4.367962869
