iter	Passed	Remaining
0	9	9637
1	17	8781
2	25	8396
3	33	8221
4	40	8036
5	48	7965
6	55	7927
7	64	7939
8	71	7918
9	79	7889
10	86	7785
11	94	7763
12	102	7746
13	109	7746
14	117	7748
15	125	7738
16	133	7710
17	142	7801
18	151	7826
19	160	7841
20	168	7837
21	176	7854
22	184	7834
23	192	7811
24	199	7774
25	206	7744
26	214	7718
27	221	7684
28	228	7649
29	236	7633
30	243	7619
31	251	7598
32	258	7585
33	266	7565
34	274	7565
35	282	7555
36	290	7556
37	298	7556
38	306	7544
39	313	7524
40	320	7507
41	328	7484
42	335	7475
43	343	7455
44	350	7440
45	359	7447
46	367	7448
47	376	7458
48	383	7452
49	391	7433
50	398	7413
51	405	7400
52	413	7380
53	420	7362
54	427	7339
55	434	7318
56	441	7303
57	448	7285
58	456	7277
59	463	7266
60	471	7257
61	478	7246
62	487	7244
63	494	7237
64	502	7224
65	509	7209
66	516	7195
67	524	7184
68	531	7165
69	538	7152
70	545	7135
71	552	7123
72	559	7107
73	567	7099
74	574	7090
75	583	7088
76	591	7087
77	599	7091
78	607	7083
79	615	7080
80	622	7066
81	630	7060
82	638	7050
83	646	7047
84	653	7034
85	661	7027
86	668	7020
87	676	7013
88	684	7004
89	691	6996
90	699	6985
91	706	6971
92	713	6958
93	720	6943
94	728	6936
95	735	6925
96	742	6915
97	750	6907
98	757	6895
99	765	6892
100	773	6882
101	781	6876
102	788	6869
103	797	6869
104	805	6861
105	812	6852
106	819	6839
107	826	6826
108	833	6814
109	840	6803
110	848	6799
111	856	6789
112	864	6785
113	872	6782
114	880	6774
115	887	6766
116	895	6757
117	903	6750
118	910	6741
119	917	6731
120	925	6726
121	932	6714
122	940	6703
123	947	6694
124	955	6690
125	962	6676
126	970	6669
127	978	6663
128	985	6654
129	993	6647
130	1000	6639
131	1008	6629
132	1015	6617
133	1021	6604
134	1030	6599
135	1037	6589
136	1044	6577
137	1051	6567
138	1058	6558
139	1065	6547
140	1073	6539
141	1081	6531
142	1089	6528
143	1097	6525
144	1107	6533
145	1115	6524
146	1122	6516
147	1130	6506
148	1137	6497
149	1144	6485
150	1152	6478
151	1159	6470
152	1166	6460
153	1174	6453
154	1182	6447
155	1190	6441
156	1198	6435
157	1205	6426
158	1212	6414
159	1220	6405
160	1227	6395
161	1234	6387
162	1241	6376
163	1248	6365
164	1255	6355
165	1263	6345
166	1270	6338
167	1278	6332
168	1287	6328
169	1295	6324
170	1304	6322
171	1311	6315
172	1320	6310
173	1327	6300
174	1334	6292
175	1342	6285
176	1350	6280
177	1358	6272
178	1366	6268
179	1374	6261
180	1382	6254
181	1389	6246
182	1398	6243
183	1408	6244
184	1416	6239
185	1423	6231
186	1431	6221
187	1438	6213
188	1447	6209
189	1455	6205
190	1463	6198
191	1471	6191
192	1478	6183
193	1487	6179
194	1496	6176
195	1504	6170
196	1511	6162
197	1518	6152
198	1525	6142
199	1533	6132
200	1539	6121
201	1547	6111
202	1554	6101
203	1561	6093
204	1568	6084
205	1576	6077
